"Response ID","Date submitted","Last page","Start language","Seed","Rust is important to my work or projects (1 disagree - 5 agree)","Rust will become more important in my work or projects in the future.  (1 disagree - 5 agree)","Rust will become more important to other developers and projects in the future (1 disagree - 5 agree)","I develop software using Rust","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [MacOS]","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [Windows]","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [Linux (Fedora, OpenSUSE, Ubuntu, Arch, etc)]","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [Other Platform]","On your primary development platform, how did you install your Rust toolchain?","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Integrated Development Environments with Language Features (syntax highlight, errors, completion, type checking)]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Debugging tools (lldb, gdb)]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Online Documentation (doc.rust-lang.org, docs.rs)]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Offline Documentation (local) ]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Build Caching (sccache)]","Do you run, provide, distribute or deploy Rust software?","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Linux]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [MacOS]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Windows]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Rust Library - No specific target (crates.io)]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Other]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Local use only (cargo build / cargo run)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Containers, using rustup inside the builder]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Containers, using a packaged rust (dnf, zypper, apt, pacman, etc)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Packaged for a package manager (rpm, deb, brew, msi, pkg, dmg, etc)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Provided as a library (source, crates.io)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Other Process]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Unknown]","In your release process, how do you manage your Rust dependencies?","In your ideal workflow, how would you prefer to manager your Rust dependencies? ","How do you manage security updates in your Rust dependencies? [Security scanners (e.g. cargo audit)]","How do you manage security updates in your Rust dependencies? [Frequent update of all dependencies (e.g. cargo outdated)]","How do you manage security updates in your Rust dependencies? [Don't actively follow security issues in dependencies]","How do you manage security updates in your Rust dependencies? [Rely on external source to manage (ie distribution packaged rust libraries)]","How do you manage security updates in your Rust dependencies? [Unknown]"
"2256","1980-01-01 00:00:00","3","en","999996012","3","5","5","Yes","No","Yes","No","No","rustup","5","5","5","5","5","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2259","1980-01-01 00:00:00","3","en","1166468830","5","5","5","Yes","No","Yes","Yes","No","rustup","5","2","5","4","5","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2262","","","en","917842109","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2265","1980-01-01 00:00:00","3","en","752737644","3","5","5","Yes","No","Yes","Yes","No","rustup","5","4","2","1","5","Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"2268","","","en","1342816364","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2271","1980-01-01 00:00:00","3","en","440183898","5","5","5","Yes","No","No","Yes","No","rustup","4","3","5","3","3","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Online download from crates.io","Online download from crates.io","Yes","Yes","No","No","No"
"2274","1980-01-01 00:00:00","3","en","761158245","5","5","4","Yes","Yes","No","No","No","rustup","5","","5","3","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2277","","2","en","673828822","5","5","5","Yes","No","No","Yes","No","rustup","5","5","5","3","5","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2280","","","en","67685085","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2283","1980-01-01 00:00:00","3","en","958179201","5","3","5","Yes","No","No","Yes","No","rustup","4","5","4","3","3","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","","","N/A","N/A","N/A","N/A","N/A"
"2286","1980-01-01 00:00:00","3","en","299979799","2","4","5","No","N/A","N/A","N/A","N/A","","","","","","","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"2289","","","en","1036395073","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2292","1980-01-01 00:00:00","3","en","34938597","4","5","5","Yes","Yes","Yes","Yes","Yes","rustup","5","4","5","2","1","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","No","Online download from crates.io","Satisfied with my existing process","No","No","Yes","No","No"
"2295","1980-01-01 00:00:00","3","en","487972496","4","5","4","Yes","No","Yes","Yes","No","rustup","5","3","5","2","2","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","Online download from crates.io","Satisfied with my existing process","No","Yes","No","No","No"
"2298","1980-01-01 00:00:00","3","en","668675914","1","5","5","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2301","1980-01-01 00:00:00","3","en","1685679514","2","2","4","No","N/A","N/A","N/A","N/A","","","","","","","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"2304","1980-01-01 00:00:00","3","en","455948573","1","1","2","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2307","","1","en","504933577","2","3","3","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2310","","","en","1853715603","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2313","1980-01-01 00:00:00","3","en","1536272250","5","5","5","Yes","No","Yes","Yes","No","rustup","5","2","5","5","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2316","","","en","1990587655","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2319","","","en","1690177509","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2322","","","en","1884694335","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2325","1980-01-01 00:00:00","3","en","1246586337","5","5","5","Yes","No","No","Yes","No","rustup","4","3","5","2","","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"2328","1980-01-01 00:00:00","3","en","1918201212","2","4","5","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2331","1980-01-01 00:00:00","3","en","1939434076","4","5","5","Yes","No","No","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","5","5","5","5","5","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","","","Yes","No","Yes","No","No"
"2334","1980-01-01 00:00:00","3","en","1588504546","5","5","5","Yes","No","No","Yes","No","rustup","5","3","5","3","3","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","Online download from crates.io","Satisfied with my existing process","Yes","Yes","No","No","No"
"2337","1980-01-01 00:00:00","3","en","1576687969","5","5","4","Yes","Yes","Yes","Yes","Yes","rustup","5","1","5","3","1","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Vendoring (bundled)","Vendoring (bundled)","Yes","Yes","No","Yes","No"
"2340","1980-01-01 00:00:00","3","en","1701376644","4","5","5","Yes","No","Yes","Yes","No","rustup","5","5","5","1","5","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","No","Online download from crates.io","Satisfied with my existing process","No","No","Yes","No","No"
"2343","","","en","2087383649","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2346","1980-01-01 00:00:00","3","en","2079426687","5","5","5","Yes","No","Yes","Yes","No","rustup","2","2","5","3","2","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","No","Online download from crates.io","Online download from crates.io","No","No","No","No","Yes"
"2349","","2","en","296382710","3","5","4","Yes","Yes","No","Yes","No","rustup","5","2","5","2","3","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","No","No","No","","Satisfied with my existing process","Yes","Yes","No","No","No"
"2352","1980-01-01 00:00:00","3","en","274904330","3","4","5","Yes","Yes","No","No","No","rustup","5","3","5","1","1","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"2355","1980-01-01 00:00:00","3","en","790230161","5","5","5","Yes","No","No","Yes","No","rustup","5","1","5","1","1","Yes","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","No","Online download from crates.io","Online download from crates.io","No","No","Yes","No","No"
"2358","1980-01-01 00:00:00","3","en","53742156","5","4","4","Yes","Yes","No","No","No","rustup","5","4","5","2","3","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","Online download from crates.io","Satisfied with my existing process","Yes","Yes","No","No","No"
"2361","1980-01-01 00:00:00","3","en","1910327400","4","4","5","Yes","Yes","No","Yes","No","rustup","5","4","5","3","3","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","","","No","No","Yes","No","No"
"2364","1980-01-01 00:00:00","3","en","525588312","4","4","5","Yes","No","No","Yes","No","rustup","4","3","4","2","2","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"2367","","","en","371455655","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2370","","1","en","258554146","1","1","5","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2373","1980-01-01 00:00:00","3","en","1575235596","3","5","4","Yes","Yes","Yes","Yes","No","rustup","5","2","5","3","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2376","1980-01-01 00:00:00","3","en","1186523593","1","5","5","Yes","No","Yes","Yes","No","rustup","5","5","5","3","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2379","","2","en","1816460204","3","5","5","No","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2382","1980-01-01 00:00:00","3","en","1203707819","3","5","5","Yes","Yes","No","No","No","rustup","5","2","5","2","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2385","1980-01-01 00:00:00","3","en","332085117","4","5","5","Yes","No","No","Yes","No","rustup","5","4","5","1","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2388","1980-01-01 00:00:00","3","en","1532481542","3","4","5","Yes","No","Yes","Yes","No","rustup","5","5","5","5","3","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2391","1980-01-01 00:00:00","3","en","463525601","5","5","5","Yes","No","No","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","4","4","5","3","5","Yes","Yes","No","No","No","No","Yes","No","Yes","No","Yes","Yes","No","Online download from crates.io","Satisfied with my existing process","Yes","Yes","No","No","No"
"2394","","","en","49927948","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2397","1980-01-01 00:00:00","3","en","1785682955","5","5","5","Yes","Yes","No","Yes","No","rustup","5","5","4","3","4","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Vendoring (bundled)","Vendoring (bundled)","Yes","Yes","No","No","No"
"2400","1980-01-01 00:00:00","3","en","1066109718","4","4","4","Yes","No","No","Yes","No","rustup","3","1","5","2","4","Yes","Yes","No","No","Yes","No","Yes","No","No","No","Yes","No","No","","","No","Yes","No","No","No"
"2403","1980-01-01 00:00:00","3","en","116648965","5","5","5","Yes","Yes","Yes","Yes","No","rustup","4","3","4","2","3","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","Yes","No","No","Online download from crates.io","Satisfied with my existing process","No","Yes","No","No","No"
"2406","1980-01-01 00:00:00","3","en","990808131","5","5","5","Yes","No","No","Yes","No","rustup","5","5","5","2","3","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","Unsure","Unsure","No","No","Yes","No","No"
"2409","","","en","10629145","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2412","1980-01-01 00:00:00","3","en","1841124924","5","5","5","Yes","No","No","Yes","No","rustup","5","5","5","5","2","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","Vendoring (bundled)","Online download from crates.io","No","Yes","No","No","No"
"2415","1980-01-01 00:00:00","3","en","31965011","3","4","4","Yes","Yes","No","No","No","rustup","","2","5","","5","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"2418","1980-01-01 00:00:00","3","en","2130063101","5","5","5","Yes","No","No","Yes","No","rustup","5","5","5","1","3","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","","","No","No","Yes","No","No"
"2421","","","en","15523698","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2424","1980-01-01 00:00:00","3","en","278334638","2","5","5","Yes","No","No","Yes","No","rustup","3","3","4","3","1","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","Online download from crates.io","Online download from crates.io","No","Yes","No","No","No"
"2427","","","en","2115844101","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2430","","","en","266916219","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2433","1980-01-01 00:00:00","3","en","714186064","3","5","5","Yes","No","No","Yes","Yes","rustup","5","5","5","1","1","Yes","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No","No","","","No","No","Yes","No","No"
"2436","","","en","562686387","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2439","","1","en","540764904","5","5","5","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2442","","1","en","948975276","5","5","2","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2445","","","en","393432","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2448","1980-01-01 00:00:00","3","en","1510932831","4","5","4","Yes","Yes","No","Yes","No","rustup","3","2","5","1","2","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","No","No","Online download from crates.io","Satisfied with my existing process","Yes","Yes","No","No","No"
"2451","","","en","1010159166","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2454","1980-01-01 00:00:00","3","en","1486743292","5","5","5","Yes","No","No","Yes","No","rustup","3","1","5","4","","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"2457","1980-01-01 00:00:00","3","en","852678614","4","3","5","Yes","No","Yes","Yes","No","rustup","5","2","5","1","2","Yes","Yes","No","Yes","No","No","Yes","No","No","No","Yes","No","No","","","No","Yes","No","No","No"
"2460","1980-01-01 00:00:00","3","en","2127870841","4","3","2","Yes","Yes","No","No","No","rustup","5","2","4","2","","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Package Manager provided libraries","Satisfied with my existing process","No","No","Yes","No","No"
"2463","","2","en","1506183023","1","5","4","Yes","No","Yes","Yes","No","rustup","5","2","3","4","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2469","1980-01-01 00:00:00","3","en","787787469","5","5","5","Yes","No","Yes","No","No","rustup","5","1","5","5","1","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","No","","","No","Yes","No","No","No"
"2472","1980-01-01 00:00:00","3","en","1441179704","5","5","5","Yes","No","Yes","Yes","Yes","rustup","5","3","5","4","","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Online download from crates.io","Online download from crates.io","Yes","Yes","Yes","No","No"
"2475","1980-01-01 00:00:00","3","en","1047514580","5","5","4","Yes","Yes","Yes","Yes","Yes","rustup","4","2","5","2","4","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Vendoring (bundled)","Satisfied with my existing process","Yes","No","No","No","No"
"2481","1980-01-01 00:00:00","3","en","668063950","5","5","2","Yes","Yes","No","Yes","No","rustup","5","4","4","5","1","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","No","No","No","Online download from crates.io","Satisfied with my existing process","Yes","Yes","No","No","No"
"2484","1980-01-01 00:00:00","3","en","2076280981","5","4","4","Yes","No","Yes","Yes","No","rustup","4","2","5","4","2","Yes","Yes","No","Yes","Yes","No","No","No","Yes","No","Yes","No","No","Online download from crates.io","Satisfied with my existing process","No","Yes","No","No","No"
"2487","1980-01-01 00:00:00","3","en","1085631904","5","5","5","Yes","No","No","Yes","No","rustup","5","","5","3","3","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","Online download from crates.io","Online download from crates.io","Yes","No","No","No","No"
"2490","","","en","1219537433","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2493","1980-01-01 00:00:00","3","en","431909605","5","5","5","Yes","No","No","Yes","No","rustup","5","1","5","3","2","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","Yes","No","Online download from crates.io","Satisfied with my existing process","No","Yes","No","Yes","No"
"2496","1980-01-01 00:00:00","3","en","1910717630","4","4","4","Yes","No","No","Yes","No","rustup","4","","5","5","5","Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"2499","1980-01-01 00:00:00","3","en","2040856761","5","5","5","Yes","Yes","Yes","Yes","Yes","rustup","5","5","5","5","5","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No","Online download from crates.io","Unsure","Yes","Yes","No","No","No"
"2502","1980-01-01 00:00:00","3","en","1413411672","3","4","5","Yes","No","Yes","Yes","No","rustup","5","3","5","3","","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","Online download from crates.io","Package Manager provided libraries","Yes","No","No","No","No"
"2505","","","en","861910002","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2508","","","en","545696247","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2511","1980-01-01 00:00:00","3","en","1479485857","3","5","5","Yes","Yes","No","Yes","Yes","rustup","5","2","5","4","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2514","1980-01-01 00:00:00","3","en","1456803495","4","5","3","Yes","Yes","No","Yes","No","rustup","5","5","3","3","4","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"2517","1980-01-01 00:00:00","3","en","895907736","1","5","5","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2520","1980-01-01 00:00:00","3","en","500121162","5","5","5","Yes","No","No","Yes","No","rustup","5","1","5","5","1","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","","","No","No","Yes","No","No"
"2523","","","en","901219298","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2526","1980-01-01 00:00:00","3","en","410166709","3","4","4","Yes","Yes","No","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","4","4","4","1","","Yes","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","","","Yes","Yes","No","No","No"
"2529","1980-01-01 00:00:00","3","en","799893694","3","5","4","Yes","Yes","Yes","Yes","No","rustup","5","5","5","1","3","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2532","","","en","323667687","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2535","1980-01-01 00:00:00","3","en","616642535","5","4","4","Yes","No","No","Yes","No","rustup","5","1","5","1","1","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","Yes","No","No","Online download from crates.io","Online download from crates.io","Yes","Yes","No","No","No"
"2538","1980-01-01 00:00:00","3","en","2144768629","3","4","5","Yes","No","Yes","Yes","No","rustup","4","","5","2","","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Vendoring (bundled)","Satisfied with my existing process","No","No","No","No","Yes"
"2541","","","en","1443474596","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2544","","1","en","569963373","5","5","5","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2547","1980-01-01 00:00:00","3","en","1986261050","5","5","4","Yes","No","No","Yes","No","rustup","5","5","5","1","2","Yes","Yes","No","No","Yes","No","Yes","No","No","No","Yes","Yes","No","Online download from crates.io","Satisfied with my existing process","No","No","Yes","No","No"
"2550","1980-01-01 00:00:00","3","en","1476076583","5","5","5","Yes","No","Yes","Yes","No","rustup","4","2","5","1","1","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","Package Manager provided libraries","Vendoring (bundled)","No","Yes","No","No","No"
"2553","1980-01-01 00:00:00","3","en","17517994","5","5","5","Yes","No","No","Yes","Yes","rustup","2","5","5","5","2","Yes","Yes","No","No","No","Yes","No","Yes","Yes","No","No","Yes","No","Online download from crates.io","Online download from crates.io","No","No","Yes","No","No"
"2556","1980-01-01 00:00:00","3","en","2130019618","5","5","5","Yes","Yes","No","No","No","rustup","5","2","5","2","3","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"2559","1980-01-01 00:00:00","3","en","1874220356","5","5","5","Yes","Yes","Yes","Yes","No","rustup","5","2","4","1","2","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","Package Manager provided libraries","Online download from crates.io","No","No","Yes","No","No"
"2562","1980-01-01 00:00:00","3","en","1897015396","5","5","5","Yes","No","No","Yes","Yes","rustup","4","1","5","3","1","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Unsure","Unsure","No","No","No","No","Yes"
"2565","1980-01-01 00:00:00","3","en","1151820598","5","5","5","Yes","No","No","Yes","No","rustup","5","5","5","3","3","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
